asset_id,asset_type,location,health_score,health_status,last_maintenance,acquisition_cost,annual_maintenance_cost,last_inspection,install_date
PUMP-001,Pump,Building A-1,85,Good,2024-01-15,25000,1250,2024-02-01,2020-03-15
PUMP-002,Pump,Building A-2,42,Critical,2023-06-20,28000,1400,2023-12-15,2019-08-22
PUMP-003,Pump,Building B-1,67,Warning,2024-02-10,26000,1300,2024-02-20,2021-01-10
HVAC-001,HVAC,Building A-1,91,Good,2024-01-20,150000,7500,2024-02-05,2018-05-12
HVAC-002,HVAC,Building B-2,38,Critical,2023-04-15,165000,8250,2023-11-20,2017-09-30
HVAC-003,HVAC,Building C-1,72,Warning,2023-12-05,158000,7900,2024-01-10,2019-03-22
CONV-001,Conveyor,Zone North,88,Good,2024-02-01,45000,2250,2024-02-15,2021-06-18
CONV-002,Conveyor,Zone South,55,Warning,2023-11-10,48000,2400,2023-12-20,2020-11-05
CONV-003,Conveyor,Zone East,44,Critical,2023-05-25,46000,2300,2023-10-15,2018-12-14
GEN-001,Generator,Building C-2,78,Good,2024-01-05,95000,4750,2024-01-25,2020-07-20
GEN-002,Generator,Building A-3,48,Critical,2023-07-30,98000,4900,2023-11-05,2017-04-18
COMP-001,Compressor,Zone West,82,Good,2024-01-25,35000,1750,2024-02-10,2021-02-28
COMP-002,Compressor,Building B-3,60,Warning,2023-10-15,37000,1850,2024-01-05,2019-10-12
COMP-003,Compressor,Zone North,71,Warning,2023-12-20,36000,1800,2024-01-20,2020-05-08
BOIL-001,Boiler,Building A-2,92,Good,2024-02-05,125000,6250,2024-02-12,2019-11-25
BOIL-002,Boiler,Building C-1,39,Critical,2023-03-10,130000,6500,2023-09-20,2016-07-15
PUMP-004,Pump,Zone East,76,Good,2024-01-18,27000,1350,2024-02-08,2021-09-03
PUMP-005,Pump,Building C-2,51,Warning,2023-09-05,29000,1450,2023-12-28,2018-06-17
HVAC-004,HVAC,Zone South,86,Good,2024-01-12,162000,8100,2024-01-30,2020-02-14
HVAC-005,HVAC,Building A-3,41,Critical,2023-08-22,155000,7750,2023-10-10,2017-12-05
CONV-004,Conveyor,Building B-1,79,Good,2024-02-02,47000,2350,2024-02-18,2021-03-29
CONV-005,Conveyor,Zone West,58,Warning,2023-11-25,49000,2450,2024-01-12,2019-07-08
GEN-003,Generator,Zone North,84,Good,2024-01-08,96000,4800,2024-01-28,2020-10-22
GEN-004,Generator,Building B-2,46,Critical,2023-06-05,99000,4950,2023-11-28,2016-08-30
COMP-004,Compressor,Building A-1,87,Good,2024-01-30,38000,1900,2024-02-14,2021-04-15
COMP-005,Compressor,Zone East,62,Warning,2023-10-28,36500,1825,2024-01-08,2019-05-20
BOIL-003,Boiler,Building B-3,89,Good,2024-02-08,128000,6400,2024-02-16,2020-01-18
BOIL-004,Boiler,Zone South,43,Critical,2023-04-20,132000,6600,2023-10-05,2017-03-22
PUMP-006,Pump,Building A-3,73,Warning,2023-12-15,26500,1325,2024-01-22,2020-08-10
PUMP-007,Pump,Zone West,81,Good,2024-01-22,28500,1425,2024-02-06,2021-05-28
HVAC-006,HVAC,Building C-2,68,Warning,2023-11-18,160000,8000,2024-01-15,2019-09-14
HVAC-007,HVAC,Zone East,90,Good,2024-01-28,157000,7850,2024-02-11,2020-11-30
CONV-006,Conveyor,Building A-2,54,Warning,2023-10-05,48500,2425,2023-12-30,2018-10-25
CONV-007,Conveyor,Zone North,83,Good,2024-02-04,46500,2325,2024-02-19,2021-07-12
GEN-005,Generator,Building A-1,77,Good,2024-01-10,97000,4850,2024-01-29,2020-12-08
GEN-006,Generator,Zone South,40,Critical,2023-05-12,100000,5000,2023-10-18,2016-11-20
COMP-006,Compressor,Building C-1,80,Good,2024-01-27,37500,1875,2024-02-13,2021-01-25
COMP-007,Compressor,Zone West,59,Warning,2023-11-08,36800,1840,2024-01-03,2019-06-15
BOIL-005,Boiler,Building A-3,88,Good,2024-02-06,129000,6450,2024-02-17,2020-04-05
BOIL-006,Boiler,Zone East,37,Critical,2023-02-28,135000,6750,2023-09-12,2016-05-08
PUMP-008,Pump,Building B-2,75,Good,2024-01-20,27500,1375,2024-02-09,2021-02-17
PUMP-009,Pump,Zone South,52,Warning,2023-09-18,29500,1475,2024-01-01,2018-11-28
HVAC-008,HVAC,Building B-1,93,Good,2024-02-03,161000,8050,2024-02-14,2020-06-22
HVAC-009,HVAC,Zone West,45,Critical,2023-07-08,156000,7800,2023-11-12,2017-10-10
CONV-008,Conveyor,Building C-2,70,Warning,2023-12-12,47500,2375,2024-01-18,2019-12-03
GEN-007,Generator,Zone East,85,Good,2024-01-14,95500,4775,2024-02-02,2020-09-16
COMP-008,Compressor,Building B-1,64,Warning,2023-10-22,37200,1860,2024-01-06,2019-08-27
BOIL-007,Boiler,Zone North,86,Good,2024-02-07,127000,6350,2024-02-18,2020-07-09
PUMP-010,Pump,Building C-1,49,Critical,2023-08-05,30000,1500,2023-11-25,2017-01-30
HVAC-010,HVAC,Building A-2,74,Warning,2023-12-28,159000,7950,2024-01-24,2019-04-16
