date,product,region,amount,quantity
2024-01-15,Widget A,North,1250.00,50
2024-01-15,Widget B,South,890.00,35
2024-01-16,Widget A,North,1320.00,52
2024-01-16,Widget B,South,920.00,38
2024-01-17,Widget A,North,1180.00,47
2024-01-17,Widget B,South,1100.00,44
2024-02-10,Widget A,North,1450.00,58
2024-02-10,Widget B,South,950.00,38
2024-02-11,Widget A,North,1520.00,61
2024-02-11,Widget B,South,1020.00,41
2024-02-12,Widget A,North,1380.00,55
2024-02-12,Widget B,South,980.00,39
2024-03-05,Widget A,North,1680.00,67
2024-03-05,Widget B,South,1150.00,46
2024-03-06,Widget A,North,1720.00,69
2024-03-06,Widget B,South,1200.00,48
2024-03-07,Widget A,North,1650.00,66
2024-03-07,Widget B,South,1180.00,47
2024-04-01,Widget A,North,1890.00,76
2024-04-01,Widget B,South,1300.00,52
2024-04-02,Widget A,North,1950.00,78
2024-04-02,Widget B,South,1280.00,51
2024-04-03,Widget A,North,1820.00,73
2024-04-03,Widget B,South,1320.00,53
